"id","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","neighbourhood_group_cleansed","property_type","room_type","accommodates","bathrooms_text","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","instant_bookable","a_balcony","a_garden","a_fireplace","a_outdoors","a_pool","a_breakfast","a_air_conditioning","a_parking","a_working_space","a_child_friendly","a_gym","a_gaming","a_kitchen","a_pets","bathroom_digits","bathroom_chars","bathrooms_type","bathrooms_count","flag_review_scores_rating"
26631768,"N/A","0",0,1,1,1,1,"la Vila de Gràcia","Gràcia","Apartment","Entire home/apt",2,"1.5 baths",1,1,28,32,1125,32,32,1125,1125,32,1125,1,0,14,44,319,2020-12-17,0,0,0,94,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,". baths","1.5 ","Private",1,1
26645009,"83","100",0,2,2,1,0,"Sant Genís dels Agudells","Horta-Guinardó","Apartment","Entire home/apt",4,"1 bath",2,2,95,4,10,4,4,10,10,4,10,1,0,0,0,170,2020-12-18,6,0,0,77,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0," bath","1 ","Private",1,0
26647920,"100","80",1,20,20,1,1,"el Camp d'en Grassot i Gràcia Nova","Gràcia","Apartment","Entire home/apt",6,"2 baths",3,5,176,3,30,3,3,30,30,3,30,1,27,57,72,347,2020-12-17,5,1,0,95,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0," baths","2 ","Private",2,0
26649077,"N/A","4",0,6,6,1,0,"el Barri Gòtic","Ciutat Vella","Apartment","Private room",5,"1 private bath",2,4,85,3,1125,3,3,1125,1125,3,1125,1,0,0,0,0,2020-12-18,0,0,0,94,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0," private bath","1  ","Private",1,1
26649308,"100","80",1,20,20,1,1,"l'Antiga Esquerra de l'Eixample","Eixample","Apartment","Entire home/apt",4,"1 bath",2,3,180,3,90,3,3,90,90,3,90,1,0,16,31,297,2020-12-18,0,0,0,94,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0," bath","1 ","Private",1,1
26649800,"N/A","N/A",0,2,2,1,1,"la Vila Olímpica del Poblenou","Sant Martí","Apartment","Entire home/apt",4,"1 bath",2,2,58,32,100,32,32,100,100,32,100,1,0,0,0,0,2020-12-16,3,0,0,100,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0," bath","1 ","Private",1,0
26651637,"N/A","N/A",0,3,3,1,0,"el Fort Pienc","Eixample","Apartment","Private room",2,"Shared half-bath",1,1,69,1,1125,1,1,1125,1125,1,1125,1,15,45,75,350,2020-12-17,12,0,0,89,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,"Shared half-bath"," -","Shared",1,0
26653515,"N/A","N/A",0,3,3,1,0,"el Fort Pienc","Eixample","Apartment","Private room",2,"Shared half-bath",1,2,58,1,1125,1,1,1125,1125,1,1125,1,15,45,75,165,2020-12-17,5,0,0,60,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,"Shared half-bath"," -","Shared",1,0
26655794,"50","60",1,1,1,1,1,"la Vila de Gràcia","Gràcia","Apartment","Private room",2,"1 private bath",1,1,8,1,1125,1,1,1125,1125,1,1125,1,0,0,0,0,2020-12-18,35,5,0,98,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0," private bath","1  ","Private",1,0
26656449,"N/A","N/A",1,0,0,1,1,"Sant Antoni","Eixample","Apartment","Private room",2,"1 shared bath",1,0,59,2,30,2,3,40,1125,2.1,1048.9,1,24,24,24,24,2020-12-18,2,1,0,100,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0," shared bath","1  ","Shared",1,0
