id,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,instant_bookable,a_balcony,a_garden,a_fireplace,a_outdoors,a_pool,a_breakfast,a_air_conditioning,a_parking,a_working_space,a_child_friendly,a_gym,a_gaming,a_kitchen,a_pets,bathrooms_type,bathrooms_count,flag_review_scores_rating,ln_price,host_professional,seeked,is_reviewed,holdout
40851260,0,1,1,1,1,el Raval,Ciutat Vella,Apartment,Entire home/apt,4,1 bath,1,2,65,30,31,30,30,31,31,30,31,1,30,60,90,180,2020-12-18,0,0,0,94,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Private,1,1,4.174387269895637,Individual,1,0,0
40851798,0,26,26,1,1,Hostafrancs,Sants-Montjuïc,Apartment,Entire home/apt,5,1 bath,3,4,67,1,1125,90,90,1125,1125,90,1125,1,0,14,44,319,2020-12-17,0,0,0,94,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Private,1,1,4.204692619390966,Professional,0,0,1
40854362,0,1,1,1,1,el Raval,Ciutat Vella,Apartment,Private room,4,1 shared bath,1,1,28,1,7,1,1,7,7,1,7,1,0,0,0,0,2020-12-16,1,1,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Shared,1,0,3.332204510175204,Individual,1,1,0
40854994,0,134,134,1,1,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Apartment,Entire home/apt,4,1 bath,2,3,125,1,1125,1,1,1125,1125,1,1125,1,30,60,90,365,2020-12-17,0,0,0,94,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,Private,1,1,4.8283137373023015,Professional,0,0,0
40856013,0,3,3,1,0,Porta,Nou Barris,Apartment,Private room,2,1 shared bath,1,1,11,2,1125,2,2,1125,1125,2,1125,1,14,44,74,74,2020-12-17,3,3,0,80,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Shared,1,0,2.3978952727983707,Individual,1,1,0
40860381,1,2,2,1,1,el Poblenou,Sant Martí,Apartment,Private room,2,1.5 shared baths,1,1,50,1,1125,1,1,1125,1125,1,1125,1,30,60,90,359,2020-12-30,1,1,0,100,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,Shared,1,0,3.912023005428146,Individual,0,1,0
40861006,1,6,6,1,1,el Barri Gòtic,Ciutat Vella,Apartment,Entire home/apt,3,1 bath,1,2,12,3,25,2,3,1125,1125,2.6,1125,1,0,0,0,0,2020-12-18,20,20,0,91,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,Private,1,0,2.4849066497880004,Professional,1,1,0
40861767,0,35,35,1,1,la Sagrada Família,Eixample,Apartment,Entire home/apt,4,1 bath,1,2,87,1,1125,3,4,1125,1125,3.1,1125,1,30,60,90,357,2020-12-17,8,8,0,90,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Private,1,0,4.465908118654584,Professional,0,1,0
40861864,0,0,0,1,1,el Poble Sec,Sants-Montjuïc,Apartment,Private room,2,1 shared bath,1,1,30,1,31,1,1,31,31,1,31,1,29,59,89,89,2020-12-17,0,0,0,94,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Shared,1,1,3.4011973816621555,Individual,1,0,1
40862206,0,0,0,1,0,la Dreta de l'Eixample,Eixample,Apartment,Private room,2,1 bath,1,2,70,1,1125,1,1,1125,1125,1,1125,1,29,59,89,179,2020-12-17,0,0,0,94,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Private,1,1,4.248495242049359,Individual,1,0,0
40866107,0,1,1,1,0,la Nova Esquerra de l'Eixample,Eixample,Apartment,Private room,2,1 shared bath,1,1,42,1,1,1,1,1,1,1,1,1,0,0,0,0,2020-12-16,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Shared,1,1,3.7376696182833684,Individual,1,0,0
40867144,0,1,1,1,0,el Besòs i el Maresme,Sant Martí,Apartment,Private room,2,1 shared bath,1,1,50,2,5,2,2,5,5,2,5,1,0,0,0,0,2020-12-18,0,0,0,94,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Shared,1,1,3.912023005428146,Individual,1,0,0
40870098,0,2,2,1,0,el Camp d'en Grassot i Gràcia Nova,Gràcia,Apartment,Private room,2,1 shared bath,1,1,21,2,15,2,2,1125,1125,2,1125,1,0,0,0,0,2020-12-16,1,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Shared,1,0,3.044522437723423,Individual,1,1,0
